YearMonth,Avg_Price,Min_Price,Max_Price,Volatility,Total_Volume,Avg_Market_Cap,Avg_Return
2017-10,466237.70967741933,57508.0,615385.0,171070.33528487507,58009357952.0,89115481061.3871,77.14004546034876
2017-11,680127.8,63576.0,988861.0,254337.26222592575,140735010304.0,130340873120.1,108.94336991382859
2017-12,148133.8064516129,16564.0,194974.0,34118.69003290265,410336495104.0,256064516129.03226,29.51101627151847
2018-01,117355.58064516129,13772.0,174295.0,38902.83071943411,416247858176.0,219838709677.41934,76.72817559203297
2018-02,455563.53571428574,7754.0,981307.0,403730.3526555429,229717780480.0,159678571428.57144,172.61002091027322
2018-03,632268.1935483871,8866.0,996557.0,364235.42649623554,193751709184.0,152967741935.48386,444.17824789458103
2018-04,753015.7666666667,70838.0,941908.0,203629.5513837242,196554010624.0,136433333333.33333,53.61990980635038
2018-05,817069.7096774194,96548.0,985815.0,155503.360305213,197611709696.0,144064516129.03226,24.70555914490129
2018-06,620512.9666666667,6404.0,772025.0,203971.2860184819,130214179584.0,116066666666.66667,21.93231059544757
2018-07,695260.3225806452,66735.0,842427.0,136916.0903535172,141441939792.0,122645161290.32259,346.041224717241
2018-08,631523.1935483871,63058.0,762491.0,155943.68046839203,132293770000.0,115387096774.19354,52.590622009651995
2018-09,525038.8,6495.0,736166.0,265023.7597461002,129745370000.0,114133333333.33333,417.60627753110356
2018-10,629478.0322580645,65561.0,665223.0,105298.3188521969,118436880000.0,112290322580.64516,25.7632138580561
2018-11,545207.724137931,377913.0,653014.0,102396.70517610024,152311507767.0,94678107129.65517,-1.219432096020413
