YearMonth,Avg_Price,Min_Price,Max_Price,Volatility,Total_Volume,Avg_Market_Cap,Avg_Return
2013-07,8568.333333333334,1012.0,10799.0,3741.6609502554697,0.0,1157581112.5,295.06864239001635
2013-08,6674.806451612903,103.0,13535.0,5633.929454175271,0.0,1317465812.451613,1417.1226438398078
2013-09,12567.266666666666,133.0,13834.0,2394.071152881107,0.0,1522703076.3,-3.2097842683220157
2013-10,13985.322580645161,126.0,21362.0,6034.3061704838765,0.0,1877944006.387097,981.8477710610159
2013-11,49522.36666666667,2291.0,113197.0,32676.15157085683,0.0,6614038754.033334,455.05157946476635
2013-12,76027.2258064516,5227.0,115117.0,23422.738669520382,139984800.0,9711058787.709677,61.884232035736105
2014-01,66827.64516129032,802.0,95329.0,34124.428053373915,1153386488.0,10354396398.096775,1078.8352088487186
2014-02,59662.857142857145,6266.0,83258.0,20870.20572883797,1269686300.0,8200983072.035714,83.66470749008222
2014-03,54099.903225806454,457.0,66776.0,17472.64539473982,763979326.0,7414856961.451612,49.30772612294383
2014-04,40322.86666666667,4586.0,51559.0,14498.712191880648,789304230.0,5837946439.633333,450.08921580895696
2014-05,46094.903225806454,4364.0,62368.0,12663.686078323424,503299100.0,6220399983.709678,53.0172255117256
2014-06,55708.4,6398.0,66062.0,16891.962605395176,721873150.0,7947162823.866667,49.82149651424668
2014-07,54363.290322580644,632.0,65088.0,19496.5566809348,450725750.0,8050580978.096774,424.1002033969661
2014-08,50722.12903225807,4918.0,59492.0,12911.29061646417,694524490.0,7048248755.193548,50.56605036734771
2014-09,37833.4,479.0,48966.0,16048.76259834169,696572150.0,5908561573.0,405.09120952523483
2014-10,33330.83870967742,3453.0,40087.0,10148.493389322291,902994450.0,4876424571.645162,78.42957694088696
2014-11,33250.566666666666,3677.0,42356.0,10303.18387243455,659733360.0,4945020910.633333,86.3153380830832
2014-12,31060.709677419356,3114.0,38132.0,9412.069964301327,553102310.0,4645934162.612904,78.14292689954218
2015-01,20756.032258064515,1781.0,31503.0,9666.64245566119,1098811912.0,3415387610.193548,156.9283049196041
2015-02,23415.321428571428,21711.0,25732.0,1099.2070560710556,711518700.0,3240843190.0,0.6295712731383574
2015-03,22425.129032258064,2456.0,29638.0,9999.217965227532,959098300.0,3752336826.935484,131.37580906474153
2015-04,21338.5,2226.0,25549.0,6487.9894965155845,672338700.0,3310554118.733333,53.6193760301361
2015-05,20936.41935483871,2368.0,24386.0,7268.745722952911,568122600.0,3357846414.290323,103.58766232728841
2015-06,19533.1,2258.0,26307.0,8789.138376624198,629780200.0,3399885171.9666667,161.93367224653787
2015-07,26320.09677419355,2749.0,31087.0,6400.762805347701,999892200.0,4023454043.645161,52.851156317633205
2015-08,22750.548387096773,261.0,28522.0,7355.256473383326,905192300.0,3636194813.419355,372.88289036185495
2015-09,21977.766666666666,2303.0,24361.0,5365.413868301393,603623900.0,3414869654.1,54.51444986130959
2015-10,24151.064516129034,2423.0,32802.0,7561.5129744228825,953279500.0,3902334110.677419,80.89623654823298
2015-11,34888.333333333336,31108.0,41156.0,2755.5851663839767,2177623396.0,5179306017.8,0.7312902960539487
2015-12,39772.83870967742,435.0,46532.0,10470.83205256957,2096250000.0,6354368497.354838,342.7658982875905
2016-01,39974.58064516129,3823.0,45805.0,7275.102087596177,1990880304.0,6199336565.032258,26.13022068379381
2016-02,36375.275862068964,4335.0,43775.0,11286.700741823006,1876238692.0,6153135545.310345,25.344588242876167
2016-03,41652.645161290326,40057.0,43512.0,621.2294556435164,2332852776.0,6382953624.064516,28.711248067394155
2016-04,39523.63333333333,4209.0,46609.0,12007.183721834404,1811475204.0,6705690597.7,80.90739035131814
2016-05,42248.45161290323,4496.0,53386.0,12847.468782705042,2234432796.0,7184703614.451612,78.77662248697926
2016-06,58426.23333333333,647.0,76631.0,19546.18028419617,4749702740.0,10071087768.566668,378.1203974658936
2016-07,60230.12903225807,6541.0,68366.0,17823.17110718878,3454186204.0,10422998891.64516,50.102687933952524
2016-08,51167.54838709677,5775.0,60627.0,17760.640068868972,2686220180.0,9166795568.67742,77.8472247240843
2016-09,57079.03333333333,5723.0,62632.0,13955.426754327591,2004401400.0,9615324324.4,54.718887375140255
2016-10,60614.1935483871,6102.0,71448.0,14742.513732782829,2115443796.0,10249370773.064516,53.17365245983954
2016-11,66129.36666666667,6887.0,75162.0,20037.50546192768,2635773092.0,11611332566.233334,82.21630850119351
2016-12,75067.74193548386,7587.0,97592.0,23007.29008664825,3556763800.0,13288925553.387096,80.39251065306914
2017-01,78354.25806451614,8218.0,115473.0,31747.627839958626,5143971692.0,14736199207.774193,102.22287876564066
2017-02,92318.75,10118.0,117997.0,34415.48188073695,4282761200.0,17175993120.892857,149.48063316565185
2017-03,101754.74193548386,1150.0,127499.0,33883.577312092006,10872455960.0,18316582286.70968,672.1647428609292
2017-04,113891.9,10805.0,134789.0,28521.639238510194,9757448112.0,19640926526.966667,55.34758015027767
2017-05,162332.8064516129,14216.0,244364.0,69089.87574042927,34261856864.0,30964367507.35484,110.2886635585507
2017-06,239194.73333333334,25896.0,295811.0,73200.82326978784,44478140928.0,43216927082.833336,81.48597967763064
2017-07,228989.2258064516,23579.0,287534.0,70997.96447866643,32619956992.0,41450458041.29032,75.67231205933322
2017-08,337341.9032258064,41937.0,470339.0,127941.47701412936,63548016640.0,64084032152.19355,80.36431435467925
2017-09,372018.73333333334,36307.0,489201.0,119050.600550248,55700949056.0,67344130843.666664,51.63635671049541
