Model,RMSE,MAE,MAPE
Linear Regression,216972.35331382148,144057.69660896144,158.07435197517862
RandomForest,277828.0101380423,222380.59762148338,140.90655571052778
Gradient Boosting,353593.1248468033,292423.43749824865,142.1836539751058
ARIMA,319279.38258807187,301128.4508793882,210.2555936295934
